Accession,ExhibitType,URL,Method,Subsidiary,Jurisdiction,NestingLevel,ParentName,ParentId,Ownership,Footnotes,IsNested
000110299325000018,EX-21,"https://www.sec.gov/Archives/edgar/data/1102993/000110299325000018/exh211-subsidiariesofregis.htm",Failed,"FAILED","","0","","","","","false"
000110398225000030,EX-21,"https://www.sec.gov/Archives/edgar/data/1103982/000110398225000030/ex211/123124.htm",Failed,"FAILED","","0","","","","","false"
000095017025023242,EX-21,"https://www.sec.gov/Archives/edgar/data/1108109/000095017025023242/cyh-ex21.htm",Failed,"FAILED","","0","","","","","false"
000110842625000014,EX-21,"https://www.sec.gov/Archives/edgar/data/1108426/000110842625000014/txnm12312024ex21.htm",Failed,"FAILED","","0","","","","","false"
000095017025034661,EX-21,"https://www.sec.gov/Archives/edgar/data/1109116/000095017025034661/evc-ex21/1.htm",Failed,"FAILED","","0","","","","","false"
000110944825000011,EX-21,"https://www.sec.gov/Archives/edgar/data/1109448/000110944825000011/ablp123124ex21012024subsid.htm",Failed,"FAILED","","0","","","","","false"
000111133525000006,EX-21,"https://www.sec.gov/Archives/edgar/data/1111335/000111133525000006/ex-2112024subsidiariesofvi.htm",Failed,"FAILED","","0","","","","","false"
000155837025001855,EX-21,"https://www.sec.gov/Archives/edgar/data/1113232/000155837025001855/acls-20241231xex21d1.htm",Failed,"FAILED","","0","","","","","false"
000114036125007622,EX-21,"https://www.sec.gov/Archives/edgar/data/1114927/000114036125007622/ef20038999/ex21-1.htm",Failed,"FAILED","","0","","","","","false"
000111748025000004,EX-21,"https://www.sec.gov/Archives/edgar/data/1117480/000111748025000004/a20241231cmrxex211subsidia.htm",Failed,"FAILED","","0","","","","","false"
000112019325000008,EX-21,"https://www.sec.gov/Archives/edgar/data/1120193/000112019325000008/ndaq12312024ex-211.htm",Failed,"FAILED","","0","","","","","false"
000143774925006453,EX-21,"https://www.sec.gov/Archives/edgar/data/1120970/000143774925006453/ex/656980.htm",Failed,"FAILED","","0","","","","","false"
000143774925005215,EX-21,"https://www.sec.gov/Archives/edgar/data/1123596/000143774925005215/ex/780365.htm",Failed,"FAILED","","0","","","","","false"
000162828025005924,EX-21,"https://www.sec.gov/Archives/edgar/data/1124198/000162828025005924/flr2024q4ex211.htm",Failed,"FAILED","","0","","","","","false"
000155837025002509,EX-21,"https://www.sec.gov/Archives/edgar/data/1124524/000155837025002509/cyrx-20241231xex21.htm",Failed,"FAILED","","0","","","","","false"
000141057825000160,EX-21,"https://www.sec.gov/Archives/edgar/data/1126328/000141057825000160/pfg-20241231xex21.htm",Failed,"FAILED","","0","","","","","false"
000155837025008723,EX-21,"https://www.sec.gov/Archives/edgar/data/1126741/000155837025008723/gsit-20250331xex21d1.htm",Failed,"FAILED","","0","","","","","false"
000187524625000003,EX-21,"https://www.sec.gov/Archives/edgar/data/1127703/000187524625000003/pra-20241231xex211.htm",Failed,"FAILED","","0","","","","","false"
000095017025048890,EX-21,"https://www.sec.gov/Archives/edgar/data/1132105/000095017025048890/spwh-ex21/1.htm",Failed,"FAILED","","0","","","","","false"
000147793225002710,EX-21,"https://www.sec.gov/Archives/edgar/data/1132509/000147793225002710/nnax/ex211.htm",Failed,"FAILED","","0","","","","","false"
000114036125044581,EX-21,"https://www.sec.gov/Archives/edgar/data/1133062/000114036125044581/ef20054953/ex21.htm",Failed,"FAILED","","0","","","","","false"
000147793225002341,EX-21,"https://www.sec.gov/Archives/edgar/data/1134982/000147793225002341/aapi/ex21.htm",Failed,"FAILED","","0","","","","","false"
000095017025026604,EX-21,"https://www.sec.gov/Archives/edgar/data/1136869/000095017025026604/zbh-ex21.htm",Failed,"FAILED","","0","","","","","false"
000113754725000039,EX-21,"https://www.sec.gov/Archives/edgar/data/1137547/000113754725000039/ubfo-20241231exhibit211.htm",Failed,"FAILED","","0","","","","","false"
000113778925000157,EX-21,"https://www.sec.gov/Archives/edgar/data/1137789/000113778925000157/stx-ex211/20250627.htm",Failed,"FAILED","","0","","","","","false"
000118518525000193,EX-21,"https://www.sec.gov/Archives/edgar/data/1138476/000118518525000193/pacifichcoex21-1.htm",Failed,"FAILED","","0","","","","","false"
000113863925000035,EX-21,"https://www.sec.gov/Archives/edgar/data/1138639/000113863925000035/infn/12282024xexhibit211.htm",Failed,"FAILED","","0","","","","","false"
000143774925009646,EX-21,"https://www.sec.gov/Archives/edgar/data/1140102/000143774925009646/ex/726690.htm",Failed,"FAILED","","0","","","","","false"
000164117225001344,EX-21,"https://www.sec.gov/Archives/edgar/data/1140215/000164117225001344/ex21.htm",Failed,"FAILED","","0","","","","","false"
000165495425003703,EX-21,"https://www.sec.gov/Archives/edgar/data/1141197/000165495425003703/ped/ex211.htm",Failed,"FAILED","","0","","","","","false"
000164117225000643,EX-21,"https://www.sec.gov/Archives/edgar/data/1141688/000164117225000643/ex21-1.htm",Failed,"FAILED","","0","","","","","false"
000114351325000015,EX-21,"https://www.sec.gov/Archives/edgar/data/1143513/000114351325000015/exhibit21-fy2025.htm",Failed,"FAILED","","0","","","","","false"
000095017025029252,EX-21,"https://www.sec.gov/Archives/edgar/data/1145986/000095017025029252/aspn-ex21/1.htm",Failed,"FAILED","","0","","","","","false"
000001154425000005,EX-21,"https://www.sec.gov/Archives/edgar/data/11544/000001154425000005/wrb1231202410-kex21.htm",Failed,"FAILED","","0","","","","","false"
000141057825000226,EX-21,"https://www.sec.gov/Archives/edgar/data/1158324/000141057825000226/ccoi-20241231xex21d1.htm",Failed,"FAILED","","0","","","","","false"
000121390025088578,EX-21,"https://www.sec.gov/Archives/edgar/data/1158780/000121390025088578/ea025613001ex21-1/pluriinc.htm",Failed,"FAILED","","0","","","","","false"
000155837025004602,EX-21,"https://www.sec.gov/Archives/edgar/data/1160791/000155837025004602/goro-20241231xex21.htm",Failed,"FAILED","","0","","","","","false"
